iter	Passed	Remaining
234	8395	27330
235	8429	27289
236	8464	27252
237	8500	27215
238	8534	27175
239	8568	27134
240	8604	27097
241	8638	27056
242	8673	27019
243	8711	26990
244	8748	26960
245	8783	26920
246	8819	26886
247	8851	26841
248	8885	26800
249	8921	26764
250	8956	26727
251	8993	26694
252	9028	26657
253	9064	26621
254	9098	26582
255	9132	26542
256	9167	26504
257	9201	26464
258	9235	26424
259	9270	26384
260	9304	26345
261	9341	26314
262	9383	26293
263	9424	26273
264	9467	26257
265	9507	26235
266	9542	26197
267	9581	26170
268	9621	26146
269	9662	26123
270	9701	26096
271	9736	26059
272	9771	26022
273	9806	25984
274	9842	25948
275	9877	25910
276	9912	25872
277	9947	25834
278	9982	25797
279	10017	25758
280	10052	25720
281	10087	25684
282	10123	25648
283	10159	25613
284	10194	25574
285	10230	25539
286	10267	25508
287	10303	25472
288	10339	25436
289	10374	25398
290	10411	25367
291	10447	25331
292	10483	25296
293	10520	25263
294	10555	25226
295	10591	25189
296	10627	25155
297	10662	25117
298	10697	25080
299	10735	25050
300	10770	25011
301	10808	24981
302	10847	24952
303	10887	24925
304	10927	24900
305	10966	24871
306	11007	24848
307	11047	24820
308	11082	24782
309	11117	24745
310	11152	24708
311	11187	24670
312	11225	24638
313	11259	24599
314	11294	24560
315	11328	24521
316	11363	24482
317	11398	24445
318	11435	24411
319	11473	24381
320	11509	24346
321	11545	24309
322	11580	24272
323	11616	24237
324	11654	24205
325	11689	24168
326	11724	24131
327	11759	24093
328	11794	24054
329	11834	24028
330	11874	23999
331	11911	23966
332	11946	23929
333	11981	23891
334	12021	23864
335	12062	23838
336	12103	23811
337	12137	23772
338	12172	23734
339	12206	23695
340	12241	23657
341	12275	23618
342	12309	23578
343	12346	23545
344	12383	23510
345	12424	23483
346	12463	23454
347	12505	23430
348	12548	23407
349	12590	23382
350	12632	23358
351	12673	23331
352	12711	23298
353	12746	23260
354	12782	23224
355	12816	23185
356	12851	23146
357	12884	23106
358	12919	23067
359	12954	23029
360	12988	22990
361	13025	22956
362	13060	22918
363	13094	22879
364	13131	22845
365	13167	22808
366	13202	22772
367	13237	22733
368	13273	22697
369	13307	22658
370	13340	22617
371	13375	22580
372	13410	22541
373	13445	22505
374	13481	22468
375	13516	22430
376	13553	22396
377	13587	22358
378	13623	22322
379	13658	22284
380	13696	22251
381	13732	22216
382	13770	22184
383	13806	22147
384	13842	22111
385	13879	22077
386	13916	22043
387	13950	22004
388	13986	21968
389	14019	21928
390	14053	21889
391	14089	21852
392	14122	21813
393	14156	21774
394	14191	21737
395	14225	21698
396	14259	21658
